pp,pnp,pfp,np
0,	0	,168	,56570
0,	0	,194	,56544
0,  0	,171	,56567
0,	0	,180	,56558
0,	0	,187	,56551
0,	0	,208	,56530
0,	0	,187	,56551
0,	0	,192	,56546
0,	0	,184	,56554
0,	0	,190	,56548
0,	0	,197	,56541
0,	0	,200	,56538
0,	0	,190	,56548
0,	0	,209	,56528
0,	0	,177	,56560
0,	0	,194	,56543
0,	0	,170	,56567
